geneID	wcID2	cvID2	classID2	wcID1	cvID1	classID1	geneCount
CLCdnDe5_64509	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe6_42228	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe6_67152	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe7_10604	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe7_65429	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
TDe_comp114097_c0_seq10	stPanTr_033313	g|D|P|R	alternative	stCuSTr-D_00201	D	representative	354
VdnDe1_266403	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe1_266411	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe1_266412	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe2_10998	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe2_10999	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe2_11004	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe2_11005	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_142603	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_142605	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_142606	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_183457	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_193407	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_7640	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_7641	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_7644	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_7647	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe3_7648	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_114210	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_160576	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_160577	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_164026	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_58032	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_67950	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_67951	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_67953	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_80166	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe4_88641	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_125803	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_125804	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_148002	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51853	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51854	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51855	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51857	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51858	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51859	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51860	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51861	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_51862	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86441	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86442	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86443	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86445	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86447	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe5_86448	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_100947	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_106048	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_48284	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_52249	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_52251	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_52252	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_55444	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_55445	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_55446	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_79151	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_79152	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe6_79153	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe7_1060	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe7_1062	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe7_52065	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
VdnDe7_56640	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_13384	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe12_28393	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe14_39207	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe14_95324	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe4_23312	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe5_31002	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe7_33388	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe4_77908	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe4_77909	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe4_77910	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe4_77914	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe4_77915	stPanTr_033313	g|D|P|R	alternative	stCuSTr-D_22109	D	representative	354
VdnDe4_77916	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe5_113510	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe5_113512	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe6_22150	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe6_22151	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe6_22152	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe6_22153	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
VdnDe7_44186	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_22109	D	alternative	354
CLCdnDe13_12413	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_28351	D	alternative	354
CLCdnDe9_13437	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_28351	D	alternative	354
VdnDe5_114706	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_28351	D	alternative	354
VdnDe5_63584	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_28351	D	alternative	354
VdnDe6_37944	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_28351	D	alternative	354
VdnDe6_37945	stPanTr_033313	g|D|P|R	alternative	stCuSTr-D_28351	D	representative	354
VdnDe4_140390	stPanTr_033313	g|D|P|R	alternative	stCuSTr-D_34048	D	representative	354
VdnDe5_139568	stPanTr_033313	g|D|P|R	alternative	stCuSTr-D_47827	D	representative	354
CLCdnPW11_563	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW14_160	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW16_10311	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW16_27302	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW17_160	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW18_189	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW19_38478	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW1_5229	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW20_36215	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW20_68	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW20_69	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW21_72416	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW23_1062	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW24_1194	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW26_210	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW28_32970	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW29_205	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW29_57778	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW2_7165	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW31_26577	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW32_16091	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW32_206	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW32_28562	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW33_12268	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW33_15130	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW33_21069	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW34_14782	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW35_13890	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW36_44368	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW36_66556	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW37_74894	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW39_1106	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW39_20910	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW39_248	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW3_181	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW40_220	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW41_227	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW42_19734	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW45_19936	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW46_15254	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW46_262	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW46_263	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW46_30897	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW48_204	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW48_70623	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW49_25932	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW49_90751	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW50_1042	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW50_20203	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW50_22963	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW50_29306	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW5_26483	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW6_16730	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW6_181	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW6_38198	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW7_11044	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW7_35760	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW8_9655	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
TPW_comp75253_c1_seq1	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
TPW_comp75253_c1_seq2	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW1_21821	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW1_21822	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW1_21823	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW1_21826	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_146734	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_14685	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_14688	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_14690	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_14691	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_14693	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_85663	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_85664	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW2_85667	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8219	stPanTr_033313	g|D|P|R	alternative	stCuSTr-P_07914	P	representative	354
VdnPW3_8220	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8222	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8223	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8224	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8225	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8226	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8227	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW3_8228	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW4_109266	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW4_4421	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW4_62271	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW4_62272	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW4_62273	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21105	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21106	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21107	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21108	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21110	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21111	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21112	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_21113	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_29667	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_3540	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_3541	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_3542	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_3543	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_3545	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW5_67362	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_12795	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_12796	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_12799	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_1969	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_1970	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_1971	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_1972	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
VdnPW6_1973	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_07914	P	alternative	354
CLCdnPW11_972	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW12_15184	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW16_154	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW16_38664	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW17_161	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW18_14832	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW18_76099	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW19_83043	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW21_15172	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW23_240	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW26_211	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW26_32779	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW27_31358	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW29_14444	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW30_1066	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW31_196	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
CLCdnPW34_194	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-P_16588	P	alternative	354
