from	to	source
VdnPW3_8224	PBdnRY1_3828	panTr
VdnPW3_8225	PBdnRY1_3828	panTr
VdnPW3_8226	PBdnRY1_3828	panTr
VdnPW3_8227	PBdnRY1_3828	panTr
VdnPW3_8228	PBdnRY1_3828	panTr
VdnPW4_109266	PBdnRY1_3828	panTr
VdnPW4_4421	PBdnRY1_3828	panTr
VdnPW4_62271	PBdnRY1_3828	panTr
VdnPW4_62272	PBdnRY1_3828	panTr
VdnPW4_62273	PBdnRY1_3828	panTr
VdnPW5_21105	PBdnRY1_3828	panTr
VdnPW5_21106	PBdnRY1_3828	panTr
VdnPW5_21107	PBdnRY1_3828	panTr
VdnPW5_21108	PBdnRY1_3828	panTr
VdnPW5_21110	PBdnRY1_3828	panTr
VdnPW5_21111	PBdnRY1_3828	panTr
VdnPW5_21112	PBdnRY1_3828	panTr
VdnPW5_21113	PBdnRY1_3828	panTr
VdnPW5_29667	PBdnRY1_3828	panTr
VdnPW5_3540	PBdnRY1_3828	panTr
VdnPW5_3541	PBdnRY1_3828	panTr
VdnPW5_3542	PBdnRY1_3828	panTr
VdnPW5_3543	PBdnRY1_3828	panTr
VdnPW5_3545	PBdnRY1_3828	panTr
VdnPW5_67362	PBdnRY1_3828	panTr
VdnPW6_12795	PBdnRY1_3828	panTr
VdnPW6_12796	PBdnRY1_3828	panTr
VdnPW6_12799	PBdnRY1_3828	panTr
VdnPW6_1969	PBdnRY1_3828	panTr
VdnPW6_1970	PBdnRY1_3828	panTr
VdnPW6_1971	PBdnRY1_3828	panTr
VdnPW6_1972	PBdnRY1_3828	panTr
VdnPW6_1973	PBdnRY1_3828	panTr
CLCdnPW11_972	PBdnRY1_3828	panTr
CLCdnPW12_15184	PBdnRY1_3828	panTr
CLCdnPW16_154	PBdnRY1_3828	panTr
CLCdnPW16_38664	PBdnRY1_3828	panTr
CLCdnPW17_161	PBdnRY1_3828	panTr
CLCdnPW18_14832	PBdnRY1_3828	panTr
CLCdnPW18_76099	PBdnRY1_3828	panTr
CLCdnPW19_83043	PBdnRY1_3828	panTr
CLCdnPW21_15172	PBdnRY1_3828	panTr
CLCdnPW23_240	PBdnRY1_3828	panTr
CLCdnPW26_211	PBdnRY1_3828	panTr
CLCdnPW26_32779	PBdnRY1_3828	panTr
CLCdnPW27_31358	PBdnRY1_3828	panTr
CLCdnPW29_14444	PBdnRY1_3828	panTr
CLCdnPW30_1066	PBdnRY1_3828	panTr
CLCdnPW31_196	PBdnRY1_3828	panTr
CLCdnPW34_194	PBdnRY1_3828	panTr
CLCdnPW36_18460	PBdnRY1_3828	panTr
CLCdnPW37_14400	PBdnRY1_3828	panTr
CLCdnPW39_31408	PBdnRY1_3828	panTr
CLCdnPW3_965	PBdnRY1_3828	panTr
CLCdnPW41_14071	PBdnRY1_3828	panTr
CLCdnPW41_226	PBdnRY1_3828	panTr
CLCdnPW41_228	PBdnRY1_3828	panTr
CLCdnPW43_1034	PBdnRY1_3828	panTr
CLCdnPW43_225	PBdnRY1_3828	panTr
CLCdnPW44_18023	PBdnRY1_3828	panTr
CLCdnPW45_13985	PBdnRY1_3828	panTr
CLCdnPW45_15035	PBdnRY1_3828	panTr
CLCdnPW47_14147	PBdnRY1_3828	panTr
CLCdnPW49_52517	PBdnRY1_3828	panTr
CLCdnPW50_85	PBdnRY1_3828	panTr
CLCdnPW5_173	PBdnRY1_3828	panTr
CLCdnPW5_33351	PBdnRY1_3828	panTr
CLCdnPW6_20091	PBdnRY1_3828	panTr
CLCdnPW6_48039	PBdnRY1_3828	panTr
CLCdnPW8_18918	PBdnRY1_3828	panTr
VdnPW4_35638	PBdnRY1_3828	panTr
VdnPW4_60280	PBdnRY1_3828	panTr
VdnPW4_60281	PBdnRY1_3828	panTr
VdnPW4_60282	PBdnRY1_3828	panTr
VdnPW5_32750	PBdnRY1_3828	panTr
VdnPW5_48679	PBdnRY1_3828	panTr
VdnPW5_48680	PBdnRY1_3828	panTr
VdnPW6_12794	PBdnRY1_3828	panTr
VdnPW6_12797	PBdnRY1_3828	panTr
CLCdnRY10_19695	PBdnRY1_3828	panTr
CLCdnRY11_27053	PBdnRY1_3828	panTr
CLCdnRY11_27054	PBdnRY1_3828	panTr
CLCdnRY12_13809	PBdnRY1_3828	panTr
CLCdnRY3_5750	PBdnRY1_3828	panTr
CLCdnRY4_4852	PBdnRY1_3828	panTr
CLCdnRY5_5345	PBdnRY1_3828	panTr
CLCdnRY5_5880	PBdnRY1_3828	panTr
CLCdnRY6_12800	PBdnRY1_3828	panTr
CLCdnRY6_5945	PBdnRY1_3828	panTr
CLCdnRY7_12741	PBdnRY1_3828	panTr
PBdnRY1_11408	PBdnRY1_3828	panTr
SdnRY1_24979	PBdnRY1_3828	panTr
SdnRY1_24980	PBdnRY1_3828	panTr
SdnRY1_24981	PBdnRY1_3828	panTr
SdnRY1_25308	PBdnRY1_3828	panTr
SdnRY1_30010	PBdnRY1_3828	panTr
SdnRY1_30011	PBdnRY1_3828	panTr
VdnRY1_117878	PBdnRY1_3828	panTr
VdnRY1_41927	PBdnRY1_3828	panTr
VdnRY7_10171	PBdnRY1_3828	panTr
VdnRY7_10788	PBdnRY1_3828	panTr
CLCdnRY10_17295	PBdnRY1_3828	panTr
CLCdnRY10_18748	PBdnRY1_3828	panTr
CLCdnRY12_17776	PBdnRY1_3828	panTr
CLCdnRY3_14677	PBdnRY1_3828	panTr
CLCdnRY4_17982	PBdnRY1_3828	panTr
CLCdnRY5_5878	PBdnRY1_3828	panTr
CLCdnRY6_17543	PBdnRY1_3828	panTr
CLCdnRY9_5781	PBdnRY1_3828	panTr
PBdnRY1_11411	PBdnRY1_3828	panTr
PBdnRY1_11937	PBdnRY1_3828	panTr
SdnRY1_37410	PBdnRY1_3828	panTr
SdnRY1_37411	PBdnRY1_3828	panTr
VdnRY1_186423	PBdnRY1_3828	panTr
VdnRY1_186425	PBdnRY1_3828	panTr
VdnRY1_41929	PBdnRY1_3828	panTr
VdnRY2_26858	PBdnRY1_3828	panTr
VdnRY4_51994	PBdnRY1_3828	panTr
CLCdnRY11_52562	PBdnRY1_3828	panTr
CLCdnRY12_14609	PBdnRY1_3828	panTr
CLCdnRY12_5904	PBdnRY1_3828	panTr
CLCdnRY1_4864	PBdnRY1_3828	panTr
CLCdnRY2_14819	PBdnRY1_3828	panTr
CLCdnRY3_25353	PBdnRY1_3828	panTr
CLCdnRY5_34053	PBdnRY1_3828	panTr
CLCdnRY6_38030	PBdnRY1_3828	panTr
CLCdnRY6_5782	PBdnRY1_3828	panTr
CLCdnRY7_12522	PBdnRY1_3828	panTr
CLCdnRY7_4361	PBdnRY1_3828	panTr
CLCdnRY8_12576	PBdnRY1_3828	panTr
CLCdnRY8_4401	PBdnRY1_3828	panTr
CLCdnRY8_4999	PBdnRY1_3828	panTr
PBdnRY1_10910	PBdnRY1_3828	panTr
PBdnRY1_11409	PBdnRY1_3828	panTr
PBdnRY1_11414	PBdnRY1_3828	panTr
SdnRY1_29414	PBdnRY1_3828	panTr
SdnRY1_30955	PBdnRY1_3828	panTr
SdnRY1_6558	PBdnRY1_3828	panTr
VdnRY2_1757	PBdnRY1_3828	panTr
VdnRY2_1758	PBdnRY1_3828	panTr
CLCdnRY12_6071	PBdnRY1_3828	panTr
CLCdnRY1_4250	PBdnRY1_3828	panTr
CLCdnRY4_19905	PBdnRY1_3828	panTr
VdnRY3_20288	PBdnRY1_3828	panTr
VdnRY6_15253	PBdnRY1_3828	panTr
CLCdnRY10_38733	PBdnRY1_3828	panTr
CLCdnRY12_73669	PBdnRY1_3828	panTr
CLCdnRY4_37888	PBdnRY1_3828	panTr
VdnRY5_8674	PBdnRY1_3828	panTr
PGSC0003DMC400012091	VdnDe5_22102	panTr
Sotub01g025190.1.1	VdnDe5_22102	panTr
Sotub01g025200.1.1	VdnDe5_22102	panTr
Sotub01g025210.1.1	VdnDe5_22102	panTr
CLCdnDe10_1082	VdnDe5_22102	panTr
CLCdnDe11_14217	VdnDe5_22102	panTr
CLCdnDe11_39469	VdnDe5_22102	panTr
CLCdnDe12_149239	VdnDe5_22102	panTr
CLCdnDe12_162683	VdnDe5_22102	panTr
CLCdnDe13_40837	VdnDe5_22102	panTr
CLCdnDe13_50937	VdnDe5_22102	panTr
CLCdnDe14_56591	VdnDe5_22102	panTr
CLCdnDe1_14187	VdnDe5_22102	panTr
CLCdnDe1_20275	VdnDe5_22102	panTr
CLCdnDe1_5801	VdnDe5_22102	panTr
CLCdnDe1_6820	VdnDe5_22102	panTr
CLCdnDe4_31756	VdnDe5_22102	panTr
CLCdnDe5_1196	VdnDe5_22102	panTr
CLCdnDe5_36889	VdnDe5_22102	panTr
CLCdnDe6_43031	VdnDe5_22102	panTr
CLCdnDe6_51207	VdnDe5_22102	panTr
CLCdnDe7_1068	VdnDe5_22102	panTr
CLCdnDe7_23886	VdnDe5_22102	panTr
CLCdnDe7_41413	VdnDe5_22102	panTr
CLCdnDe7_48596	VdnDe5_22102	panTr
CLCdnDe7_78824	VdnDe5_22102	panTr
CLCdnDe9_14640	VdnDe5_22102	panTr
TDe_comp100698_c1_seq1	VdnDe5_22102	panTr
TDe_comp96166_c0_seq1	VdnDe5_22102	panTr
VdnDe1_118172	VdnDe5_22102	panTr
VdnDe1_198	VdnDe5_22102	panTr
VdnDe2_134262	VdnDe5_22102	panTr
VdnDe2_134265	VdnDe5_22102	panTr
VdnDe2_65371	VdnDe5_22102	panTr
VdnDe2_65373	VdnDe5_22102	panTr
VdnDe2_65374	VdnDe5_22102	panTr
VdnDe2_69023	VdnDe5_22102	panTr
VdnDe2_69024	VdnDe5_22102	panTr
VdnDe2_69025	VdnDe5_22102	panTr
VdnDe2_69027	VdnDe5_22102	panTr
VdnDe2_69030	VdnDe5_22102	panTr
VdnDe2_69031	VdnDe5_22102	panTr
VdnDe3_100	VdnDe5_22102	panTr
VdnDe3_139184	VdnDe5_22102	panTr
VdnDe3_58579	VdnDe5_22102	panTr
VdnDe3_67754	VdnDe5_22102	panTr
VdnDe3_67758	VdnDe5_22102	panTr
VdnDe3_67759	VdnDe5_22102	panTr
VdnDe3_67986	VdnDe5_22102	panTr
VdnDe3_92504	VdnDe5_22102	panTr
VdnDe3_93	VdnDe5_22102	panTr
VdnDe3_95	VdnDe5_22102	panTr
VdnDe3_97	VdnDe5_22102	panTr
VdnDe3_99	VdnDe5_22102	panTr
VdnDe4_26577	VdnDe5_22102	panTr
VdnDe6_33602	VdnDe5_22102	panTr
VdnDe6_33603	VdnDe5_22102	panTr
VdnDe6_33604	VdnDe5_22102	panTr
CLCdnPW10_1003	VdnDe5_22102	panTr
CLCdnPW10_1004	VdnDe5_22102	panTr
CLCdnPW10_25930	VdnDe5_22102	panTr
CLCdnPW10_28171	VdnDe5_22102	panTr
CLCdnPW10_32097	VdnDe5_22102	panTr
CLCdnPW11_1142	VdnDe5_22102	panTr
CLCdnPW11_27016	VdnDe5_22102	panTr
CLCdnPW11_27017	VdnDe5_22102	panTr
CLCdnPW11_917	VdnDe5_22102	panTr
CLCdnPW12_1177	VdnDe5_22102	panTr
CLCdnPW12_36865	VdnDe5_22102	panTr
CLCdnPW12_36967	VdnDe5_22102	panTr
CLCdnPW13_1264	VdnDe5_22102	panTr
CLCdnPW13_1265	VdnDe5_22102	panTr
CLCdnPW13_998	VdnDe5_22102	panTr
CLCdnPW14_1137	VdnDe5_22102	panTr
CLCdnPW14_23339	VdnDe5_22102	panTr
CLCdnPW15_20924	VdnDe5_22102	panTr
CLCdnPW15_28415	VdnDe5_22102	panTr
CLCdnPW15_5784	VdnDe5_22102	panTr
CLCdnPW16_1300	VdnDe5_22102	panTr
CLCdnPW16_19087	VdnDe5_22102	panTr
CLCdnPW16_4103	VdnDe5_22102	panTr
CLCdnPW16_4994	VdnDe5_22102	panTr
CLCdnPW16_4995	VdnDe5_22102	panTr
CLCdnPW17_41682	VdnDe5_22102	panTr
CLCdnPW17_4248	VdnDe5_22102	panTr
CLCdnPW18_1249	VdnDe5_22102	panTr
CLCdnPW18_39136	VdnDe5_22102	panTr
CLCdnPW19_1394	VdnDe5_22102	panTr
CLCdnPW19_28237	VdnDe5_22102	panTr
CLCdnPW19_35637	VdnDe5_22102	panTr
CLCdnPW19_37189	VdnDe5_22102	panTr
CLCdnPW19_4420	VdnDe5_22102	panTr
CLCdnPW19_48619	VdnDe5_22102	panTr
CLCdnPW19_48949	VdnDe5_22102	panTr
CLCdnPW20_1338	VdnDe5_22102	panTr
CLCdnPW20_40018	VdnDe5_22102	panTr
CLCdnPW21_1348	VdnDe5_22102	panTr
CLCdnPW21_9953	VdnDe5_22102	panTr
CLCdnPW22_29190	VdnDe5_22102	panTr
CLCdnPW22_985	VdnDe5_22102	panTr
CLCdnPW23_19332	VdnDe5_22102	panTr
CLCdnPW23_28380	VdnDe5_22102	panTr
CLCdnPW23_33150	VdnDe5_22102	panTr
CLCdnPW24_1028	VdnDe5_22102	panTr
CLCdnPW24_13053	VdnDe5_22102	panTr
CLCdnPW26_14268	VdnDe5_22102	panTr
CLCdnPW26_1478	VdnDe5_22102	panTr
CLCdnPW26_30972	VdnDe5_22102	panTr
CLCdnPW26_33916	VdnDe5_22102	panTr
CLCdnPW26_35281	VdnDe5_22102	panTr
CLCdnPW26_4801	VdnDe5_22102	panTr
CLCdnPW27_1309	VdnDe5_22102	panTr
CLCdnPW27_35253	VdnDe5_22102	panTr
CLCdnPW29_1285	VdnDe5_22102	panTr
CLCdnPW29_26794	VdnDe5_22102	panTr
CLCdnPW29_38757	VdnDe5_22102	panTr
CLCdnPW29_51305	VdnDe5_22102	panTr
CLCdnPW29_5166	VdnDe5_22102	panTr
CLCdnPW2_26250	VdnDe5_22102	panTr
CLCdnPW2_4694	VdnDe5_22102	panTr
CLCdnPW30_1386	VdnDe5_22102	panTr
CLCdnPW30_16392	VdnDe5_22102	panTr
CLCdnPW30_21561	VdnDe5_22102	panTr
CLCdnPW30_29841	VdnDe5_22102	panTr
CLCdnPW32_18616	VdnDe5_22102	panTr
CLCdnPW32_37281	VdnDe5_22102	panTr
CLCdnPW32_44674	VdnDe5_22102	panTr
CLCdnPW33_1307	VdnDe5_22102	panTr
CLCdnPW34_16635	VdnDe5_22102	panTr
CLCdnPW34_5537	VdnDe5_22102	panTr
CLCdnPW35_14582	VdnDe5_22102	panTr
CLCdnPW35_26402	VdnDe5_22102	panTr
CLCdnPW36_19185	VdnDe5_22102	panTr
CLCdnPW36_29389	VdnDe5_22102	panTr
CLCdnPW36_3909	VdnDe5_22102	panTr
CLCdnPW36_45739	VdnDe5_22102	panTr
CLCdnPW36_51439	VdnDe5_22102	panTr
CLCdnPW36_70359	VdnDe5_22102	panTr
CLCdnPW37_41751	VdnDe5_22102	panTr
CLCdnPW39_29481	VdnDe5_22102	panTr
CLCdnPW39_37340	VdnDe5_22102	panTr
CLCdnPW3_1150	VdnDe5_22102	panTr
CLCdnPW3_20496	VdnDe5_22102	panTr
CLCdnPW3_36875	VdnDe5_22102	panTr
CLCdnPW3_36876	VdnDe5_22102	panTr
CLCdnPW3_41034	VdnDe5_22102	panTr
CLCdnPW3_4650	VdnDe5_22102	panTr
CLCdnPW40_1112	VdnDe5_22102	panTr
CLCdnPW40_15954	VdnDe5_22102	panTr
CLCdnPW40_31660	VdnDe5_22102	panTr
CLCdnPW41_1014	VdnDe5_22102	panTr
CLCdnPW42_1160	VdnDe5_22102	panTr
CLCdnPW42_30040	VdnDe5_22102	panTr
CLCdnPW42_30041	VdnDe5_22102	panTr
CLCdnPW42_47914	VdnDe5_22102	panTr
CLCdnPW43_33386	VdnDe5_22102	panTr
CLCdnPW43_33417	VdnDe5_22102	panTr
CLCdnPW43_3739	VdnDe5_22102	panTr
CLCdnPW44_14693	VdnDe5_22102	panTr
CLCdnPW45_1039	VdnDe5_22102	panTr
CLCdnPW45_14279	VdnDe5_22102	panTr
CLCdnPW45_19408	VdnDe5_22102	panTr
CLCdnPW45_27713	VdnDe5_22102	panTr
CLCdnPW45_30012	VdnDe5_22102	panTr
CLCdnPW45_30013	VdnDe5_22102	panTr
CLCdnPW45_30014	VdnDe5_22102	panTr
CLCdnPW45_4376	VdnDe5_22102	panTr
CLCdnPW45_4843	VdnDe5_22102	panTr
CLCdnPW46_1086	VdnDe5_22102	panTr
CLCdnPW46_1087	VdnDe5_22102	panTr
CLCdnPW46_1195	VdnDe5_22102	panTr
CLCdnPW46_14185	VdnDe5_22102	panTr
CLCdnPW47_1127	VdnDe5_22102	panTr
CLCdnPW47_1516	VdnDe5_22102	panTr
CLCdnPW47_16220	VdnDe5_22102	panTr
CLCdnPW47_21152	VdnDe5_22102	panTr
CLCdnPW47_32096	VdnDe5_22102	panTr
CLCdnPW47_32099	VdnDe5_22102	panTr
CLCdnPW48_16637	VdnDe5_22102	panTr
CLCdnPW48_17694	VdnDe5_22102	panTr
CLCdnPW48_22585	VdnDe5_22102	panTr
CLCdnPW49_20713	VdnDe5_22102	panTr
CLCdnPW49_22135	VdnDe5_22102	panTr
CLCdnPW49_34249	VdnDe5_22102	panTr
CLCdnPW49_37675	VdnDe5_22102	panTr
CLCdnPW49_41774	VdnDe5_22102	panTr
